,indicator,1,2,3,4,5,6
317,0,147.66692456,147.627213138,147.159611138,147.537862437,149.692207107,150.704848381
318,1,146.624499719,146.813128976,147.110964645,146.733706131,146.110236798,145.770704136
319,0,148.570359422,148.169274055,148.073966641,147.051397511,147.101036789,146.991830378
320,-1,148.530647999,148.530647999,148.451225154,148.610070844,148.897978658,148.907906513
321,0,146.753561843,146.823056832,147.418728169,148.333083672,148.512777859,148.554971246
322,1,145.095609953,144.926836408,145.095609953,145.234599932,145.23956386,143.199389529
323,0,149.046896492,148.044183074,148.014399507,148.381730165,148.639854411,148.719277256
324,-1,149.036968636,149.344732161,149.970187065,150.029754199,150.158816322,150.198527744
325,0,144.034911238,143.985346575,144.520644937,144.163779362,144.391776813,144.124127632
326,1,144.282734554,144.450163986,144.649513062,145.006378637,143.846565518,141.259290099
327,0,147.613479921,147.692783382,147.9108679,147.960432563,146.741141848,147.00879103
328,-1,147.744429761,147.476384062,147.613479921,147.692783382,147.9108679,147.960432563
329,0,146.870009973,146.820445309,146.870009973,146.909661703,146.116627092,146.275234014
330,1,143.687958596,143.787087922,142.05232471,142.101889373,140.783469333,140.43651669
331,0,146.760967714,146.810532377,147.00879103,146.909661703,147.316091941,146.819454016
332,-1,147.72252218,147.851390304,147.970345495,148.128952418,148.208255879,148.347036936
333,0,143.757349124,143.539264606,143.578916337,143.638393932,143.687958596,143.787087922
334,1,140.158954576,140.664514141,140.367126162,140.515820151,139.970608856,139.44026696
335,0,142.984140378,143.271615425,143.281528357,143.311267155,143.390570616,140.158954576
336,-1,142.825533456,142.984140378,143.271615425,143.281528357,143.311267155,143.390570616
337,0,132.348158433,132.337650725,132.446692984,132.456605916,132.466518849,132.664777502
338,1,129.076295886,129.710723575,129.740462373,129.304293337,129.106034684,128.085002623
