frame,updown,date,0
35,1.0,2019-05-29,104.38755798339844
35,1.0,2019-05-30,104.29094696044922
35,1.0,2019-05-31,102.21434020996094
36,0.0,2019-06-17,108.62133026123048
36,0.0,2019-06-18,109.77235412597656
36,0.0,2019-06-19,110.33576965332033
36,0.0,2019-06-20,111.7604522705078
36,0.0,2019-06-21,112.04215240478516
36,0.0,2019-06-24,112.1628875732422
36,0.0,2019-06-25,111.36602783203124
36,0.0,2019-06-26,111.49484252929688
36,0.0,2019-06-27,111.49484252929688
36,0.0,2019-06-28,110.99579620361328
37,-1.0,2019-07-18,120.437255859375
37,-1.0,2019-07-19,120.47752380371094
37,-1.0,2019-07-22,120.52581787109376
37,-1.0,2019-07-23,121.04095458984376
37,-1.0,2019-07-24,120.75921630859376
37,-1.0,2019-07-25,121.04901123046876
37,-1.0,2019-07-26,121.82975769042967
37,-1.0,2019-07-29,121.44338989257812
37,-1.0,2019-07-30,120.54998779296876
37,-1.0,2019-07-31,119.31843566894533
