,indicator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
85,0,164.466641656,164.476625063,163.901580838,164.641351273,164.456857918,164.386774403,165.065646057,164.975795397,164.945845177,164.826044297,164.626376163,165.614733425,165.534866171,166.163820792,166.093936945,166.403422552,167.202095087,166.313571892,165.405081884,164.776127264
86,-1,164.995762211,165.445015511,163.318549888,164.466641656,164.476625063,163.901580838,164.641351273,164.456857918,164.386774403,165.065646057,164.975795397,164.945845177,164.826044297,164.626376163,165.614733425,165.534866171,166.163820792,166.093936945,166.403422552,167.202095087
87,0,161.681001379,161.07784426,161.112139474,161.130782512,160.968179329,160.908362094,159.612322003,159.313235828,159.313235828,159.712017394,159.662169698,160.055966495,160.758819006,160.669093154,161.710909996,159.911408177,160.155661887,159.502657072,159.592382924,159.682108777
88,1,161.705925227,161.656077531,161.516503983,161.66604707,161.606229835,161.566351679,160.70897131,162.272195051,162.702879143,162.663000986,161.606329531,160.858514398,161.681001379,161.07784426,161.112139474,161.130782512,160.968179329,160.908362094,159.612322003,159.313235828
89,0,155.096120762,155.365298319,155.335389702,155.484932789,156.142922374,154.946577674,155.425015859,156.417084701,155.973440208,156.875683502,156.790942419,156.820851037,163.350899189,161.865437853,161.536443061,161.526473522,160.70897131,160.968179329,160.389946057,161.30714366
90,-1,153.924002042,155.435085093,156.232648226,155.325420162,155.724201729,155.803958042,156.023287904,155.096120762,155.365298319,155.335389702,155.484932789,156.142922374,154.946577674,155.425015859,156.417084701,155.973440208,156.875683502,156.790942419,156.820851037,163.350899189
91,0,151.143198483,150.530071825,151.168122331,151.392436962,151.128244175,151.098335557,151.846050994,151.905868229,151.856020534,152.364467031,152.862943989,152.683492284,152.523979658,152.2548021,152.424284266,153.899776062,153.92469991,153.690316044,153.790111131,153.924002042
92,1,153.989501915,153.067818019,152.632647634,153.176984473,153.240789523,152.813096293,152.145037474,152.483104547,152.165076248,152.075350395,152.085319934,152.214923943,152.085319934,152.224893483,151.935776847,151.646660211,151.42733035,151.716446985,151.143198483,150.530071825
93,0,154.767125969,154.408222559,154.378313942,154.448100716,154.478009334,154.787065048,154.976486292,155.385237397,155.016364448,154.791451645,155.196115239,154.144528248,154.047624328,153.535887883,153.32652756,153.670476661,153.829989288,153.57078127,153.520933574,153.461116339
94,-1,152.523979658,152.793157215,152.892852607,153.012487077,153.6804462,152.902822146,152.793157215,153.500994496,154.677400117,154.687369656,154.787164743,154.906699518,154.767125969,154.408222559,154.378313942,154.448100716,154.478009334,154.787065048,154.976486292,155.385237397
95,0,146.681829708,146.442560768,146.053748741,146.283048141,146.452530307,146.951007265,147.160367588,147.220184823,147.080611274,147.131455924,147.529240537,148.944915098,149.353666204,149.622843761,150.357399407,150.221016111,150.510132747,151.257848184,151.576873437,151.287756801
96,1,148.895067402,149.712569614,149.563026526,149.553056987,149.533117909,149.572996065,151.237909105,151.038518322,151.048487861,150.988670626,150.729462608,150.642129445,150.734447378,150.9438077,150.290802885,147.344804062,146.851311874,146.681829708,146.442560768,146.053748741
97,0,148.276955974,148.137382426,149.174314194,148.91500648,148.80534155,148.337770163,148.456407679,148.68072231,148.895067402,149.712569614,149.563026526,149.553056987,149.533117909,149.572996065,151.237909105,151.038518322,151.048487861,150.988670626,150.729462608,150.642129445
